id;address;county;city
1;mobile Fish;Home Loan Account Table Computer;South Sammieborough
2;Metal deposit;Producer;Wehnerberg
3;Chips;Money Market Account;Judgetown
4;Home Namibia;Steel zero administration;East Jackson
5;bluetooth;syndicate;McLaughlinview
6;HDD;Table Small Frozen Sausages Planner;Hoppeburgh
7;Intelligent;Monitored Bahamian Dollar Investment Account;Bartonville
8;incentivize Tuna copy;Costa Rica Mayotte;North Wadehaven
9;Views e-enable Communications;National Awesome sky blue;Port Erichaven
10;compress South Georgia and the South Sandwich Islands;compelling mission-critical;Dougland
